,Name,Club,Nationality,Age,Overall,Height,Weight,Position,Preferred Foot,Value,Wage,Acceleration,Finishing,Vision,BallControl,Dribbling,Strength
3469,A. Castro,San Lorenzo de Almagro,Argentina,23,72,182.88,157,LM,Left,4300000.0,13000,75.0,67.0,71.0,71.0,72.0,67.0
3470,O. Nyland,Aston Villa,Norway,27,72,193.04,198,GK,Right,2500000.0,11000,47.0,11.0,28.0,23.0,21.0,71.0
3471,M. Iori,Cittadella,Italy,36,72,182.88,159,CM,Right,975000.0,2000,71.0,56.0,76.0,72.0,62.0,76.0
3472,D. Pavelka,Kasimpaşa SK,Czech Republic,27,72,185.42,163,LCM,Right,3100000.0,10000,61.0,52.0,65.0,76.0,67.0,73.0
3473,R. Keogh,Derby County,Republic of Ireland,31,72,187.96,192,RCB,Right,2100000.0,27000,63.0,28.0,41.0,58.0,63.0,76.0
3474,Adrián Burnabão,Botafogo,Brazil,34,72,175.26,161,LAM,Right,1600000.0,16000,53.0,58.0,76.0,75.0,75.0,58.0
3475,F. Sammaritano,Dijon FCO,France,32,72,162.56,141,LM,Right,2400000.0,11000,72.0,65.0,76.0,74.0,73.0,43.0
3476,J. Fernández,Rosario Central,Argentina,30,72,170.18,148,LM,Left,2900000.0,12000,87.0,62.0,71.0,70.0,69.0,54.0
3477,Munir,Málaga CF,Morocco,29,72,190.5,196,GK,Right,2400000.0,6000,43.0,19.0,40.0,31.0,19.0,79.0
3478,J. Nieto,Once Caldas,Colombia,25,72,177.8,163,RCM,Right,4099999.9999999995,4000,74.0,65.0,75.0,74.0,69.0,75.0
3479,Carlos Fernández,Deportivo de La Coruña,Spain,22,72,185.42,159,LS,Left,5000000.0,11000,54.0,76.0,60.0,71.0,73.0,72.0
3480,S. Mosquera,FC Dallas,Colombia,23,72,167.64000000000001,185,LM,Right,4600000.0,6000,83.0,65.0,67.0,72.0,75.0,63.0
3481,J. Pereira,Guadalajara,Mexico,31,72,182.88,179,RCB,Right,2100000.0,24000,46.0,31.0,50.0,53.0,54.0,82.0
3482,Jorge Carvallinho,Botafogo,Brazil,34,72,187.96,176,RCB,Left,950000.0,15000,61.0,53.0,48.0,65.0,47.0,84.0
3483,R. Řezník,Viktoria Plzeň,Czech Republic,29,72,182.88,176,RCB,Right,2400000.0,1000,71.0,60.0,51.0,69.0,68.0,64.0
3484,Y. Mulumbu,Celtic,DR Congo,31,72,175.26,168,CDM,Right,2100000.0,32000,60.0,61.0,68.0,74.0,69.0,72.0
3485,A. Esswein,Hertha BSC,Germany,28,72,182.88,187,RM,Right,3100000.0,20000,83.0,68.0,59.0,73.0,75.0,77.0
3486,L. Boyé,AEK Athens,Argentina,22,72,180.34,176,LM,Right,4900000.0,1000,75.0,66.0,71.0,81.0,80.0,78.0
3487,J. van Overeem,FC Utrecht,Netherlands,24,72,180.34,157,CDM,Right,3900000.0,12000,74.0,64.0,75.0,76.0,74.0,55.0
3488,M. Mahi,FC Groningen,Morocco,24,72,180.34,152,ST,Right,4099999.9999999995,7000,77.0,70.0,66.0,77.0,78.0,66.0
3489,D. Henderson,Sheffield United,England,21,72,190.5,187,GK,Right,4200000.0,31000,51.0,9.0,33.0,32.0,13.0,60.0
3490,I. Lewczuk,FC Girondins de Bordeaux,Poland,33,72,187.96,187,CB,Right,1300000.0,25000,49.0,42.0,60.0,63.0,60.0,82.0
3491,F. Kroos,1. FC Union Berlin,Germany,27,72,182.88,172,LCM,Right,3100000.0,20000,66.0,59.0,68.0,73.0,69.0,71.0
3492,F. Quignon,Club Atlético Lanús,Argentina,25,72,177.8,165,LCM,Left,4099999.9999999995,13000,72.0,51.0,75.0,71.0,67.0,73.0
3493,D. N'Dinga,Sivasspor,Congo,30,72,180.34,154,CDM,Right,2300000.0,10000,70.0,50.0,66.0,64.0,59.0,74.0
3494,Welinton,Alanyaspor,Brazil,29,72,180.34,179,CB,Right,2400000.0,11000,53.0,43.0,52.0,52.0,41.0,80.0
3495,L. Jiménez,Club Atlas,Colombia,29,72,185.42,170,LCB,Right,2400000.0,15000,68.0,47.0,44.0,55.0,55.0,79.0
3496,N. Mushekwi,Dalian YiFang FC,Zimbabwe,30,72,187.96,179,ST,Left,3000000.0,11000,70.0,76.0,60.0,63.0,56.0,83.0
3497,J. Jugas,SK Slavia Praha,Czech Republic,26,72,187.96,194,CB,Right,3300000.0,1000,63.0,41.0,51.0,55.0,43.0,83.0
3498,Claiton,US Cremonese,Brazil,33,72,187.96,174,LCB,Right,1300000.0,3000,52.0,14.0,28.0,58.0,45.0,89.0
3499,G. Zusi,Sporting Kansas City,United States,31,72,177.8,159,RB,Right,2000000.0,6000,69.0,63.0,75.0,69.0,70.0,68.0
3500,J. Mauri,Milan,Italy,22,72,170.18,143,CM,Right,4300000.0,43000,77.0,40.0,72.0,78.0,77.0,33.0
3501,L. Sigali,Racing Club,Argentina,31,72,180.34,159,RCB,Right,2100000.0,14000,67.0,29.0,32.0,58.0,34.0,74.0
3502,I. Seck,KRC Genk,Senegal,28,72,193.04,194,CDM,Left,2500000.0,11000,33.0,31.0,66.0,65.0,53.0,91.0
3503,D. Gonzo,,Paraguay,22,72,175.26,161,RM,Right,,0,81.0,71.0,69.0,72.0,76.0,58.0
3504,Su Boyang,Guizhou Hengfeng FC,China PR,29,72,185.42,163,GK,Right,2400000.0,9000,29.0,9.0,47.0,17.0,10.0,53.0
3505,L. Caldirola,SV Werder Bremen,Italy,27,72,187.96,174,CB,Left,2600000.0,17000,52.0,28.0,57.0,65.0,59.0,79.0
3506,G. Hauche,Millonarios FC,Argentina,31,72,167.64000000000001,161,LM,Right,2800000.0,4000,89.0,69.0,68.0,75.0,74.0,61.0
3507,B. Hrgota,Eintracht Frankfurt,Sweden,25,72,185.42,165,ST,Left,4000000.0,24000,76.0,80.0,61.0,72.0,76.0,64.0
3508,D. Morales,Club Atlético Tigre,Argentina,31,72,172.72,152,CAM,Right,2700000.0,11000,74.0,59.0,76.0,79.0,81.0,69.0
3509,M. Milligan,Hibernian,Australia,32,72,177.8,172,LCB,Right,1800000.0,6000,68.0,48.0,73.0,66.0,62.0,79.0
3510,D. Čop,Real Valladolid CF,Croatia,28,72,182.88,161,ST,Right,3200000.0,14000,66.0,74.0,66.0,73.0,68.0,68.0
3511,A. Andrade,Club Atlas,Colombia,29,72,177.8,157,LCM,Right,3000000.0,22000,78.0,62.0,70.0,73.0,75.0,62.0
3512,F. Ricci,Benevento,Italy,24,72,175.26,139,LW,Left,3900000.0,31000,80.0,65.0,69.0,76.0,77.0,39.0
3513,A. Ömür,Trabzonspor,Turkey,19,72,167.64000000000001,148,RM,Left,4200000.0,10000,77.0,62.0,72.0,77.0,77.0,34.0
3514,M. Erdinç,Antalyaspor,Turkey,31,72,180.34,185,ST,Right,2800000.0,19000,68.0,73.0,69.0,70.0,67.0,75.0
3515,D. Zabala,Unión de Santa Fe,Uruguay,26,72,172.72,141,RM,Right,3300000.0,11000,75.0,74.0,73.0,74.0,72.0,78.0
3516,R. Canouse,DC United,United States,23,72,177.8,168,RDM,Right,3900000.0,5000,68.0,46.0,60.0,71.0,62.0,77.0
3517,A. Hoffmann,Fortuna Düsseldorf,Germany,25,72,190.5,185,CB,Right,3400000.0,18000,52.0,29.0,55.0,62.0,51.0,78.0
3518,J. Mattheij,Excelsior,Netherlands,25,72,190.5,185,RCB,Right,3300000.0,5000,36.0,38.0,40.0,61.0,42.0,84.0
3519,M. Sprocati,Parma,Italy,24,72,172.72,165,LW,Right,3900000.0,29000,73.0,71.0,66.0,75.0,77.0,68.0
3520,J. Torres Nilo,Tigres U.A.N.L.,Mexico,30,72,180.34,172,LCB,Left,2200000.0,32000,74.0,34.0,50.0,65.0,64.0,83.0
3521,D. Kombarov,Spartak Moscow,Russia,31,72,182.88,159,LB,Left,2000000.0,1000,75.0,68.0,77.0,78.0,74.0,59.0
3522,R. Métanire,Stade de Reims,Madagascar,28,72,177.8,163,RB,Right,2500000.0,13000,78.0,21.0,59.0,70.0,64.0,72.0
3523,João Schmidt,Rio Ave FC,Brazil,25,72,182.88,181,LCM,Left,3900000.0,18000,55.0,57.0,66.0,76.0,72.0,71.0
3524,H. Palacios,Atlético Nacional,Colombia,25,72,175.26,165,RB,Right,3400000.0,4000,88.0,27.0,65.0,57.0,63.0,72.0
3525,Gao Lin,Guangzhou Evergrande Taobao FC,China PR,32,72,185.42,165,ST,Right,2500000.0,14000,75.0,67.0,75.0,65.0,66.0,79.0
3526,A. Gerndt,FC Lugano,Sweden,31,72,182.88,176,LS,Left,2800000.0,8000,80.0,71.0,70.0,72.0,71.0,72.0
3527,H. Bandé,Ajax,Burkina Faso,19,72,177.8,150,LW,Right,5500000.0,7000,83.0,73.0,64.0,72.0,77.0,62.0
3528,E. Jakupović,Leicester City,Switzerland,33,72,190.5,187,GK,Right,1600000.0,30000,43.0,12.0,52.0,22.0,11.0,62.0
3529,L. Ardente,San Martín de San Juan,Argentina,36,72,187.96,179,GK,Right,425000.0,5000,25.0,12.0,50.0,13.0,11.0,69.0
3530,S. Koç,Çaykur Rizespor,Germany,29,72,177.8,176,RM,Right,3000000.0,12000,84.0,59.0,62.0,74.0,75.0,70.0
3531,E. Andersen,Strømsgodset IF,Norway,25,72,180.34,161,LM,Right,3700000.0,4000,82.0,64.0,73.0,70.0,70.0,65.0
3532,E. Insúa,Panathinaikos FC,Argentina,27,72,182.88,181,LB,Left,2900000.0,1000,71.0,55.0,60.0,67.0,66.0,70.0
3533,Simy,Crotone,Nigeria,26,72,198.12,185,ST,Right,3900000.0,4000,54.0,77.0,46.0,57.0,58.0,89.0
3534,G. Angella,Sporting de Charleroi,Italy,29,72,187.96,174,CB,Right,2400000.0,18000,39.0,30.0,48.0,56.0,48.0,73.0
3535,Felipe,Vancouver Whitecaps FC,Brazil,27,72,170.18,150,RCM,Right,3200000.0,7000,71.0,60.0,70.0,70.0,70.0,67.0
3536,J. Correa,Club Atlético Colón,Argentina,25,72,187.96,187,ST,Right,4000000.0,11000,66.0,76.0,54.0,75.0,71.0,79.0
3537,F. Coloccini,San Lorenzo de Almagro,Argentina,36,72,182.88,183,CB,Right,425000.0,10000,53.0,45.0,48.0,65.0,58.0,78.0
3538,S. Frei,Seattle Sounders FC,United States,32,72,190.5,194,GK,Right,1800000.0,5000,43.0,17.0,50.0,26.0,18.0,70.0
3539,F. Ceravolo,Parma,Italy,31,72,180.34,161,ST,Right,2800000.0,30000,75.0,75.0,59.0,75.0,74.0,75.0
3540,F. Eboa Eboa,En Avant de Guingamp,Cameroon,21,72,185.42,176,CB,Right,3800000.0,11000,68.0,39.0,38.0,62.0,49.0,73.0
3541,A. Abedzadeh,Clube Sport Marítimo,Iran,25,72,185.42,176,GK,Right,3000000.0,6000,30.0,10.0,47.0,15.0,10.0,60.0
3542,S. Gustafson,FC Utrecht,Sweden,23,72,185.42,172,RCM,Left,4200000.0,12000,67.0,70.0,72.0,75.0,71.0,71.0
3543,A. Tello,Benevento,Colombia,21,72,180.34,176,RCM,Right,5000000.0,3000,87.0,55.0,62.0,75.0,75.0,82.0
3544,O. Hurmacı,BB Erzurumspor,Turkey,31,72,175.26,154,LM,Right,2700000.0,11000,69.0,61.0,70.0,75.0,78.0,65.0
3545,R. Gutiérrez,CD Palestino,Chile,35,72,177.8,168,ST,Right,1400000.0,3000,66.0,77.0,58.0,72.0,65.0,74.0
3546,N. Murru,Sampdoria,Italy,23,72,180.34,141,LB,Left,3500000.0,18000,76.0,30.0,40.0,68.0,66.0,66.0
3547,W. Zimmerman,Los Angeles FC,United States,25,72,190.5,196,LCB,Right,3400000.0,6000,51.0,52.0,37.0,63.0,42.0,83.0
3548,G. Lanaro,Universidad Católica,Argentina,32,72,185.42,185,RCB,Right,1800000.0,8000,41.0,15.0,35.0,56.0,40.0,90.0
3549,I. Canuto,Club Atlético Tigre,Argentina,32,72,180.34,181,RCB,Right,1800000.0,10000,46.0,38.0,48.0,60.0,54.0,83.0
3550,S. Nakamura,Júbilo Iwata,Japan,40,72,177.8,157,CAM,Left,,4000,32.0,65.0,74.0,76.0,70.0,65.0
3551,Vasco Fernandes,Vitória de Setúbal,Portugal,31,72,182.88,168,LCB,Right,2100000.0,5000,67.0,27.0,48.0,67.0,60.0,73.0
3552,Luís Leal,Newell's Old Boys,São Tomé & Príncipe,31,72,175.26,154,ST,Right,2800000.0,15000,75.0,72.0,61.0,69.0,65.0,75.0
3553,M. González,Club Atlético Colón,Argentina,37,72,175.26,176,LM,Right,1000000.0,8000,64.0,71.0,73.0,75.0,75.0,70.0
3554,J. Barreiro,Pachuca,Colombia,24,72,187.96,172,CB,Right,3900000.0,12000,70.0,30.0,29.0,50.0,50.0,76.0
3555,Clayton Fildeiras,América FC (Minas Gerais),Brazil,34,72,172.72,152,RAM,Right,1600000.0,12000,66.0,66.0,72.0,75.0,72.0,66.0
3556,N. Mazraoui,Ajax,Morocco,20,72,182.88,137,RB,Right,3900000.0,8000,77.0,54.0,66.0,75.0,74.0,60.0
3557,Bruno Uvini,Al Nassr,Brazil,27,72,185.42,185,RCB,Left,2900000.0,24000,31.0,37.0,52.0,58.0,46.0,88.0
3558,R. Sigurjónsson,Grasshopper Club Zürich,Iceland,28,72,177.8,183,CM,Right,3100000.0,12000,68.0,69.0,73.0,73.0,70.0,81.0
3559,P. Arriola,DC United,United States,23,72,167.64000000000001,143,RM,Right,4200000.0,6000,84.0,66.0,70.0,70.0,74.0,53.0
3560,E. Buendía,Norwich City,Argentina,21,72,170.18,143,RM,Right,4400000.0,15000,69.0,69.0,73.0,76.0,73.0,59.0
3561,G. Gillet,Racing Club de Lens,Belgium,34,72,185.42,174,CDM,Right,950000.0,8000,62.0,71.0,70.0,73.0,68.0,78.0
3562,B. Méndez,,Uruguay,18,72,177.8,170,RCB,Right,,0,64.0,25.0,28.0,48.0,33.0,78.0
3563,A. Briseño,CD Feirense,Mexico,24,72,185.42,165,RCB,Right,3500000.0,7000,67.0,41.0,47.0,61.0,55.0,74.0
3564,S. Sáez,Universidad Católica,Argentina,33,72,175.26,187,ST,Right,2000000.0,9000,68.0,77.0,48.0,68.0,71.0,78.0
3565,F. Zuqui,Estudiantes de La Plata,Argentina,26,72,170.18,143,RM,Right,3600000.0,12000,64.0,65.0,69.0,72.0,75.0,70.0
3566,R. Lamah,FC Dallas,Belgium,30,72,175.26,157,LM,Left,2900000.0,7000,85.0,70.0,65.0,70.0,72.0,73.0
3567,Paulao Junqueiras,Grêmio,Brazil,30,72,193.04,212,ST,Right,3000000.0,22000,33.0,77.0,57.0,67.0,63.0,92.0
3568,G. Escobar,Club Atlético Colón,Argentina,21,72,170.18,154,LB,Left,3900000.0,7000,82.0,32.0,59.0,70.0,71.0,72.0
3569,S. Żurkowski,Górnik Zabrze,Poland,20,72,185.42,170,LCM,Right,5500000.0,4000,78.0,58.0,72.0,70.0,66.0,82.0
3570,Diego Ângelo,Antalyaspor,Brazil,32,72,193.04,185,LCB,Left,1800000.0,12000,36.0,52.0,51.0,58.0,50.0,86.0
3571,M. Johansson,Panathinaikos FC,Sweden,26,72,175.26,146,RB,Right,3200000.0,1000,84.0,45.0,43.0,72.0,74.0,54.0
3572,O. John,Vitória Guimarães,Netherlands,26,72,177.8,159,LM,Right,3300000.0,8000,79.0,59.0,71.0,76.0,78.0,67.0
3573,Filipe Augusto,Alanyaspor,Brazil,24,72,182.88,176,CDM,Left,3700000.0,7000,67.0,54.0,70.0,72.0,75.0,69.0
3574,F. Lértora,Belgrano de Córdoba,Argentina,27,72,175.26,161,CDM,Right,2900000.0,10000,64.0,49.0,63.0,73.0,62.0,74.0
3575,A. Barboza,Defensa y Justicia,Argentina,23,72,193.04,194,LCB,Left,3500000.0,13000,44.0,27.0,33.0,59.0,51.0,77.0
3576,T. Savanier,Nîmes Olympique,France,26,72,170.18,137,LCM,Right,3800000.0,14000,78.0,62.0,75.0,72.0,71.0,56.0
3577,Daniel Guimarães,CD Nacional,Brazil,31,72,187.96,161,GK,Right,1900000.0,7000,39.0,9.0,16.0,21.0,14.0,56.0
3578,E. Ofori,New York City FC,Ghana,23,72,172.72,154,CM,Left,4200000.0,20000,75.0,45.0,72.0,76.0,75.0,59.0
3579,E. Karaca,Alanyaspor,Turkey,28,72,165.1,123,RM,Right,3100000.0,12000,84.0,64.0,68.0,76.0,76.0,39.0
3580,D. Di Gennaro,US Salernitana 1919,Italy,30,72,180.34,159,CM,Left,2900000.0,30000,69.0,60.0,73.0,75.0,71.0,65.0
3581,B. Ketkeophomphone,AJ Auxerre,France,28,72,180.34,157,RM,Right,3200000.0,7000,75.0,66.0,70.0,74.0,73.0,55.0
3582,A. Henríquez,Universidad de Chile,Chile,24,72,175.26,161,ST,Right,4000000.0,9000,73.0,76.0,60.0,68.0,69.0,61.0
3583,F. Angileri,Godoy Cruz,Argentina,24,72,182.88,185,LB,Left,3700000.0,9000,77.0,64.0,67.0,68.0,75.0,77.0
3584,A. Matri,Sassuolo,Italy,33,72,182.88,176,ST,Right,2000000.0,35000,67.0,73.0,60.0,71.0,64.0,77.0
3585,D. Banguero,Deportes Tolima,Colombia,28,72,185.42,174,LB,Left,2500000.0,3000,69.0,52.0,61.0,70.0,71.0,81.0
3586,Nilsito Vilela,Chapecoense,Brazil,30,72,180.34,157,ST,Right,3000000.0,14000,82.0,66.0,55.0,75.0,73.0,73.0
3587,Canella,Real Sporting de Gijón,Spain,30,72,177.8,161,LB,Left,2200000.0,7000,70.0,44.0,55.0,67.0,61.0,74.0
3588,M. Pérez García,Club Atlético Tigre,Argentina,33,72,165.1,150,LM,Left,1900000.0,11000,81.0,49.0,77.0,76.0,77.0,48.0
3589,A. Khubulov,BB Erzurumspor,Russia,27,72,180.34,163,RM,Right,3300000.0,11000,77.0,65.0,69.0,74.0,79.0,58.0
3590,A. Costa,Benevento,Italy,32,72,182.88,161,RCB,Left,1800000.0,4000,67.0,27.0,34.0,62.0,59.0,73.0
3591,A. Morales,Fortuna Düsseldorf,United States,28,72,182.88,170,CM,Right,3100000.0,22000,75.0,53.0,73.0,73.0,68.0,68.0
3592,S. Longo,SD Huesca,Italy,26,72,185.42,172,ST,Right,3800000.0,40000,74.0,71.0,62.0,72.0,71.0,76.0
3593,L. Höler,SC Freiburg,Germany,23,72,182.88,176,ST,Right,4000000.0,17000,67.0,72.0,54.0,66.0,67.0,75.0
3594,Torrejón,1. FC Union Berlin,Spain,32,72,187.96,194,CB,Right,1800000.0,20000,37.0,23.0,51.0,52.0,48.0,81.0
3595,Rogerinho,Al Faisaly,Brazil,31,72,175.26,154,CAM,Right,2700000.0,18000,83.0,68.0,71.0,75.0,78.0,58.0
3596,Zhang Xizhe,Beijing Sinobo Guoan FC,China PR,27,72,180.34,152,RF,Right,3300000.0,14000,71.0,67.0,73.0,70.0,74.0,53.0
3597,Vítor Gomes,CD Aves,Portugal,30,72,182.88,179,RCM,Right,2900000.0,9000,55.0,59.0,73.0,74.0,71.0,75.0
3598,R. van La Parra,Huddersfield Town,Netherlands,27,72,180.34,159,LM,Right,3300000.0,31000,79.0,58.0,62.0,78.0,82.0,66.0
3599,V. Le Goff,FC Lorient,France,28,72,177.8,150,LB,Left,2500000.0,7000,73.0,58.0,63.0,71.0,70.0,62.0
3600,Albentosa,Gimnàstic de Tarragona,Spain,29,72,193.04,196,CB,Right,2400000.0,8000,31.0,51.0,35.0,54.0,32.0,91.0
3601,S. Khaoui,Stade Malherbe Caen,Tunisia,23,72,182.88,150,CAM,Left,4099999.9999999995,25000,72.0,60.0,71.0,75.0,74.0,49.0
3602,H. Goitom,AIK,Eritrea,33,72,187.96,187,LS,Right,2000000.0,8000,56.0,69.0,73.0,74.0,68.0,89.0
3603,T. Howard,Colorado Rapids,United States,39,72,190.5,194,GK,Right,210000.0,3000,49.0,13.0,57.0,29.0,13.0,74.0
3604,C. Obasi,IF Elfsborg,Nigeria,32,72,187.96,174,ST,Right,2500000.0,5000,68.0,73.0,60.0,74.0,75.0,72.0
3605,G. Fofana,En Avant de Guingamp,France,25,72,182.88,170,CDM,Right,3500000.0,14000,61.0,58.0,69.0,72.0,70.0,80.0
3606,L. Andersen,Aalborg BK,Denmark,23,72,185.42,161,LS,Right,4300000.0,11000,79.0,66.0,75.0,78.0,77.0,64.0
3607,D. Linsmayer,SV Sandhausen,Germany,26,72,182.88,174,RDM,Left,3100000.0,5000,66.0,45.0,66.0,69.0,62.0,75.0
3608,M. Goicoechea,Toulouse Football Club,Uruguay,30,72,185.42,181,GK,Right,2000000.0,15000,47.0,16.0,27.0,18.0,14.0,66.0
3609,Dankler,Vitória de Setúbal,Brazil,26,72,185.42,179,RCB,Right,3100000.0,5000,59.0,38.0,39.0,57.0,48.0,86.0
3610,J. Arango,Al Batin,Colombia,27,72,180.34,181,LS,Right,3600000.0,12000,76.0,72.0,73.0,70.0,74.0,71.0
3611,C. Chimino,Club Atlético Huracán,Argentina,30,72,177.8,159,RB,Right,2200000.0,11000,78.0,35.0,48.0,64.0,61.0,67.0
3612,A. Traoré,AS Monaco,Mali,23,72,180.34,159,CM,Left,4099999.9999999995,35000,67.0,52.0,74.0,75.0,75.0,66.0
3613,S. Viera,Junior FC,Uruguay,35,72,182.88,190,GK,Right,725000.0,2000,41.0,8.0,52.0,24.0,7.0,60.0
3614,L. Montes,Club León,Mexico,32,72,165.1,148,CAM,Left,2400000.0,21000,67.0,67.0,76.0,70.0,67.0,59.0
3615,J. Garro,Club Atlético Huracán,Argentina,25,72,177.8,157,LM,Right,3700000.0,12000,80.0,71.0,69.0,72.0,72.0,74.0
3616,A. Warda,PAOK,Egypt,24,72,177.8,170,RM,Right,3900000.0,1000,80.0,60.0,66.0,71.0,76.0,42.0
3617,Varela,Kayserispor,Portugal,33,72,177.8,174,LM,Right,1900000.0,11000,75.0,72.0,67.0,72.0,75.0,76.0
3618,M. Cuisance,Borussia Mönchengladbach,France,18,72,180.34,161,CM,Left,5500000.0,9000,79.0,59.0,76.0,74.0,75.0,47.0
3619,J. Mercier,Atlético Tucumán,Argentina,38,72,185.42,172,RDM,Right,425000.0,6000,65.0,57.0,75.0,74.0,66.0,80.0
3620,E. Hallfreðsson,Frosinone,Iceland,34,72,185.42,190,LCM,Left,1500000.0,12000,62.0,50.0,72.0,75.0,74.0,77.0
3621,T. Sušić,VVV-Venlo,Bosnia Herzegovina,26,72,185.42,183,LCM,Left,3800000.0,7000,66.0,66.0,70.0,76.0,75.0,72.0
3622,E. Gnahoré,Amiens SC,France,24,72,187.96,194,LDM,Right,4099999.9999999995,3000,68.0,63.0,69.0,74.0,74.0,81.0
3623,N. Bertolo,Club Atlético Banfield,Argentina,32,72,177.8,165,LM,Right,2400000.0,11000,65.0,67.0,74.0,72.0,76.0,68.0
3624,K. Nordfeldt,Swansea City,Sweden,29,72,190.5,187,GK,Right,2500000.0,16000,55.0,13.0,34.0,24.0,14.0,74.0
3625,R. Varga,,Hungary,28,72,182.88,174,RW,Right,,0,85.0,66.0,69.0,72.0,71.0,68.0
3626,S. Yago,Toulouse Football Club,Burkina Faso,25,72,180.34,170,RB,Right,3400000.0,17000,66.0,34.0,51.0,68.0,68.0,74.0
3627,Hugo Rubiães,Fluminense,Brazil,34,72,175.26,165,CDM,Right,950000.0,18000,76.0,55.0,54.0,71.0,67.0,67.0
3628,J. Okore,Aalborg BK,Denmark,25,72,182.88,176,RCB,Right,3400000.0,10000,73.0,34.0,59.0,61.0,57.0,88.0
3629,Y. Bammou,Stade Malherbe Caen,Morocco,26,72,187.96,172,ST,Right,3700000.0,18000,65.0,72.0,64.0,74.0,73.0,74.0
3630,B. Caicedo,,Ecuador,26,72,180.34,159,LB,Left,,0,87.0,51.0,40.0,63.0,66.0,57.0
3631,A. Silbeira,,Paraguay,22,72,190.5,207,GK,Right,,0,41.0,12.0,13.0,30.0,16.0,72.0
3632,N. Powell,Wigan Athletic,England,24,72,182.88,143,CAM,Right,4099999.9999999995,32000,72.0,71.0,72.0,73.0,71.0,64.0
3633,O. Alanís,Real Oviedo,Mexico,29,72,185.42,165,CB,Left,2400000.0,8000,36.0,33.0,56.0,66.0,57.0,70.0
3634,Carleto Costinha,Fluminense,Brazil,26,72,175.26,152,RCM,Right,3300000.0,20000,88.0,68.0,70.0,74.0,71.0,44.0
3635,R. Williams,Al Qadisiyah,Australia,29,72,185.42,172,LCB,Right,2400000.0,15000,61.0,43.0,68.0,62.0,66.0,82.0
3636,G. Charbonnier,Stade Brestois 29,France,29,72,187.96,176,ST,Right,3100000.0,7000,34.0,75.0,69.0,72.0,70.0,85.0
3637,J. Egan,Sheffield United,Republic of Ireland,25,72,187.96,165,CB,Right,3500000.0,9000,65.0,43.0,38.0,62.0,55.0,81.0
3638,L. Olaza,Boca Juniors,Uruguay,23,72,175.26,163,LB,Left,3600000.0,10000,73.0,50.0,64.0,73.0,68.0,65.0
3639,M. Kosanović,Standard de Liège,Serbia,28,72,190.5,187,CB,Left,2800000.0,11000,50.0,22.0,58.0,64.0,57.0,84.0
3640,F. Cerro,Defensa y Justicia,Argentina,30,72,177.8,165,CM,Right,2900000.0,10000,72.0,59.0,66.0,70.0,67.0,80.0
3641,S. Naismith,Heart of Midlothian,Scotland,31,72,177.8,159,CAM,Right,2700000.0,21000,74.0,71.0,76.0,70.0,68.0,76.0
3642,Mauro Riboas,Cruzeiro,Brazil,26,72,175.26,165,RAM,Right,3300000.0,20000,67.0,44.0,77.0,75.0,71.0,53.0
3643,Rafael Lopes,Boavista FC,Portugal,26,72,185.42,174,ST,Right,3700000.0,7000,67.0,76.0,51.0,67.0,64.0,77.0
3644,David García,UD Las Palmas,Spain,36,72,182.88,176,RCB,Right,425000.0,6000,55.0,50.0,39.0,68.0,49.0,76.0
3645,A. Mosquera,Club León,Colombia,28,72,180.34,172,CB,Right,2900000.0,20000,76.0,36.0,53.0,59.0,44.0,76.0
3646,O. Idrissi,AZ Alkmaar,Netherlands,22,72,182.88,172,LW,Right,4400000.0,11000,84.0,69.0,61.0,77.0,81.0,66.0
3647,Yu Hanchao,Guangzhou Evergrande Taobao FC,China PR,31,72,177.8,143,LM,Left,2700000.0,13000,75.0,65.0,69.0,70.0,72.0,68.0
3648,Hong Jeong Ho,Jeonbuk Hyundai Motors,Korea Republic,28,72,187.96,170,RCB,Right,2500000.0,14000,77.0,43.0,59.0,58.0,49.0,76.0
3649,M. Schmiedebach,1. FC Union Berlin,Germany,29,72,170.18,154,CDM,Right,2400000.0,22000,72.0,31.0,69.0,70.0,69.0,65.0
3650,S. Badji,Bursaspor,Senegal,28,72,180.34,165,RDM,Right,2500000.0,13000,68.0,46.0,64.0,60.0,56.0,78.0
3651,R. Gómez,Unión de Santa Fe,Argentina,25,72,165.1,141,LM,Right,3900000.0,17000,83.0,65.0,58.0,71.0,74.0,34.0
3652,D. Limnios,PAOK,Greece,20,72,180.34,157,RM,Right,4600000.0,1000,80.0,66.0,71.0,73.0,77.0,56.0
3653,René,UD Almería,Spain,34,72,185.42,174,GK,Right,1300000.0,5000,51.0,18.0,28.0,19.0,14.0,67.0
3654,S. Scuffet,Udinese,Italy,22,72,190.5,172,GK,Right,3800000.0,11000,50.0,20.0,33.0,21.0,13.0,65.0
3655,J. Rinne,Aalborg BK,Sweden,25,72,187.96,179,GK,Left,3000000.0,8000,46.0,15.0,60.0,20.0,16.0,63.0
3656,L. Agbenyenu,Sporting CP,Ghana,21,72,175.26,154,LB,Left,3900000.0,6000,78.0,45.0,53.0,69.0,71.0,65.0
3657,Marcão,Gyeongnam FC,Brazil,24,72,195.57999999999998,192,ST,Right,4200000.0,6000,68.0,75.0,40.0,69.0,64.0,85.0
3658,J. Sala,Sampdoria,Italy,26,72,180.34,165,RB,Right,3000000.0,21000,71.0,50.0,66.0,72.0,70.0,71.0
